accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
adjacent,adj. 邻近的，毗连的
adverb,"n. 副词
adj. 副词的"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
aisle,n. 通道，走道；侧廊
album,n. 相簿；唱片集；集邮簿；签名纪念册
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
antenna,n.  天线； 触角， 触须
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
appal,"vt. 使惊骇；惊吓
vi. 减弱；变得苍白；令人发腻"
appall,vt. 使胆寒；使惊骇
apparatus,n. 装置，设备；仪器；器官
arena,n. 舞台；竞技场
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
artefact,n. 工艺品；人工制品，加工品
artery,n. 动脉；干道；主流
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
assassinate,vt. 暗杀；行刺
audio,adj. 声音的； 音频的， 声频的
auditorium,n. 礼堂，会堂；观众席
aural,adj. 听觉的；耳的；气味的；先兆的
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
avert,vt. 避免，防止；转移
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
axe,"n. 斧
vt. 削减；用斧砍"
axis,n. 轴；轴线；轴心国
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
blade,n. 叶片；刀片，刀锋；剑
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
bolster,"n. 支持；长枕
vt. 支持；支撑"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
booth,n. 货摊；公用电话亭
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
briefcase,n. 公文包
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
brow,n. 眉，眉毛；额；表情
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
bulletin,"n. 公告，公报
vt. 公布，公告"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
burglar,n. 夜贼，窃贼
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canteen,n. 食堂，小卖部；水壶
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
cape,n.  海角，岬；披肩
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
catastrophe,n. 大灾难；大祸；惨败
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cemetery,n. 墓地；公墓
censorship,n. 审查制度；审查机构
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
champagne,n. 香槟酒；香槟酒色
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chimney,n. 烟囱
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
clergy,n. 神职人员；牧师；僧侣
climax,n. 高潮；顶点；层进法；极点
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
clothe,vt. 给…穿衣；覆盖；赋予
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
coarse,adj. 粗糙的；粗俗的；下等的
cocaine,n.  可卡因
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
colonel,n. 陆军上校
comet,n.  彗星
commence,v. 开始；着手；<英>获得学位
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
comrade,n. 同志；伙伴
consecutive,adj. 连贯的；连续不断的
contagious,adj. 感染性的；会蔓延的
contaminate,vt. 污染，弄脏
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
conversion,n. 转换；变换； 兑换；改变信仰
cop,"n. 巡警，警官
vt. 抓住"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
coronavirus,n. 冠状病毒；日冕形病毒
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
cosmic,adj. 宇宙的（等于cosmical）
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
cumulative,adj. 累积的
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
daunting,adj. 使人畏缩的；使人气馁的；令人怯步的
deaf,adj. 聋的
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
delegate,"n. 代表
vt. 委派…为代表"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
deviate,"vi. 脱离；越轨
vt. 使偏离"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
diagram,"n. 图表；图解
vt. 用图解法表示"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
diameter,n. 直径
dine,"vi. 进餐，用餐
vt. 宴请"
dinosaur,n. 恐龙；过时、落伍的人或事物
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
disk,n.  磁盘，磁碟片；圆盘，盘状物；唱片
discreet,adj. 谨慎的；小心的
