establish,"vi. 植物定植
vt. 建立；创办；安置"
established,adj. 确定的；已制定的，已建立的
humanity,n. 人类；人道；仁慈；人文学科
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
downshifting,v. （汽车等）调低速挡( downshift的现在分词 )
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
alter,"vt. 改变，更改
vi. 改变；修改"
alteration,n. 修改，改变；变更
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expectation,n. 期待；预期；指望
unexpected,adj. 意外的，想不到的
expectancy,n. 期望，期待
eliminate,vt. 消除；排除
elimination,n. 消除；淘汰；除去
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
widespread,adj. 普遍的，广泛的；分布广的
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expensive,adj. 昂贵的；花钱的
strict,adj. 严格的；绝对的；精确的；详细的
strictly,adv. 严格地；完全地；确实地
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
detect,vt. 察觉；发现；探测
detector,n. 探测器；检测器；发现者；侦察器
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
innovation,n. 创新，革新；新方法
innovativeness,n. 创新性，创新精神
vital,adj. 至关重要的；生死攸关的；有活力的
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
marker,n. 记分员；书签；标识物；作记号的人
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specifically,adv. 特别地；明确地
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
rarely,adv. 很少地；难得；罕有地
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgency,n. 紧急；催促；紧急的事
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
delayed,"v. 延迟（delay的过去式）
adj. 延时的；定时的"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
encourage,vt. 鼓励，怂恿；激励；支持
encouragement,n. 鼓励
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
guaranteed,"v. 担保（guarantee的过去式和过去分词）
adj. 有保证的，；有人担保的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
completely,adv. 完全地，彻底地；完整地
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
conversational,adj. 对话的；健谈的
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
justification,n. 理由；辩护；认为有理，认为正当；释罪
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
tax,"n. 税金；重负
vt. 向…课税；使负重担"
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
matter,"n. 物质；事件
vi. 有关系；要紧"
involve,vt. 包含；牵涉；使陷于；潜心于
involvement,n. 牵连；包含；混乱；财政困难
rural,adj. 农村的，乡下的；田园的，有乡村风味的
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
removal,n. 免职；移动；排除；搬迁
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
obtain,"vi. 获得；流行
vt. 获得"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognition,n. 识别；承认，认出；重视；赞誉；公认
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
sentiment,n. 感情，情绪；情操；观点；多愁善感
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
known as, 被称为；被认为是；以…而闻名
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
restrict,vt. 限制；约束；限定
restriction,n. 限制；约束；束缚
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
emerge,vi. 浮现；摆脱；暴露
emergence,n. 出现，浮现；发生；露头
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extensive,adj. 广泛的；大量的；广阔的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
opposition,n. 反对；反对派；在野党；敌对
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
accomplish,vt. 完成；实现；达到
accomplishment,n. 成就；完成；技艺，技能
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
practical,adj. 实际的；实用性的
impractical,adj. 不切实际的，不现实的；不能实行的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
passion,n. 激情；热情；酷爱；盛怒
passionate,adj. 热情的；热烈的，激昂的；易怒的
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
excellent,adj. 卓越的；极好的；杰出的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
procedure,n. 程序，手续；步骤
result in,"na. 终于(失败)
 导致；结果是；造成"
flexible,adj. 灵活的；柔韧的；易弯曲的
flexibility,n. 灵活性；弹性；适应性
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investment,n. 投资；投入；封锁
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reliability,n. 可靠性
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shrinking,"v. 萎缩（shrink的ing形式）；收缩；退缩
adj. 畏缩的；犹豫不决的"
shrinkage,n. 收缩；减低
excessive,adj. 过多的，极度的；过分的
consequence,n. 结果；重要性；推论
consequently,adv. 因此；结果；所以
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complexity,n. 复杂，复杂性；复杂错综的事物
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
temptation,n. 引诱；诱惑物
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
upsetting,"n. 缩锻，镦锻；倾复，倒转
adj. 令人心烦意乱的，令人苦恼的"
authority,n. 权威；权力；当局
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
ignore,vt. 驳回诉讼；忽视；不理睬
ignorant,adj. 无知的；愚昧的
ignorance,n. 无知，愚昧；不知，不懂
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
sustainability,n. 持续性；永续性；能维持性
undoubted,adj. 无疑的；确实的
undoubtedly,adv. 确实地，毋庸置疑的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
insensitive,adj. 感觉迟钝的，对…没有感觉的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploration,n. 探测；探究；踏勘
priority,n. 优先；优先权； 优先次序；优先考虑的事
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
priority,n. 优先；优先权； 优先次序；优先考虑的事
reconstruct,vt. 重建；改造；修复；重现
reconstruction,n. 再建，重建；改造；复兴
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
comparable,adj. 可比较的；比得上的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
violate,vt. 违反；侵犯，妨碍；亵渎
cling,vi. 坚持，墨守；紧贴；附着
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
residence,n. 住宅，住处；居住
resident,"n. 居民；住院医生
adj. 居住的；定居的"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
application,n. 应用；申请；应用程序；敷用
applicable,adj. 可适用的；可应用的；合适的
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
conservative,
conservation,n. 保存，保持；保护
collaborative,adj. 合作的，协作的
collaboration,n. 合作；勾结；通敌
prevalent,adj. 流行的；普遍的，广传的
prevalence,n. 流行；普遍；广泛
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
self-esteem,n. 自尊；自负；自大
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
unqualified,adj. 不合格的；无资格的；不胜任的；不受限制的；无条件的；绝对的
qualification,n. 资格；条件；限制；赋予资格
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
association,n. 协会，联盟，社团；联合；联想
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountable,adj. 有责任的；有解释义务的；可解释的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
significance,n. 意义；重要性；意思
circulation,n. 流通，传播；循环；发行量
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
monetary,adj. 货币的；财政的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
overwhelmingly,adv. 压倒性地；不可抵抗地
occupation,n. 职业；占有；消遣；占有期
occupy,vt. 占据，占领；居住；使忙碌
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
valid,adj. 有效的；有根据的；合法的；正当的
invalidate,vt. 使无效；使无价值
validity,n.  有效性；正确；正确性
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
odds,n. 几率；胜算；不平等；差别
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
immigration,n. 外来移民；移居
permission,n. 允许，许可
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
distribute,vt. 分配；散布；分开；把…分类
distribution,n. 分布；分配
redistribution,n.  重新分配
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
acceleration,n. 加速，促进； 加速度
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
classify,vt. 分类；分等
classification,n. 分类；类别，等级
suitable,adj. 适当的；相配的
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
authorize,vt. 批准，认可；授权给；委托代替
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturer,n. 制造商； 厂商
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
correspond,vi. 符合，一致；相应；通信
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principally,adv. 主要地；大部分
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
tendency,n. 倾向，趋势；癖好
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
partial,adj. 局部的；偏爱的；不公平的
impartial,adj. 公平的，公正的；不偏不倚的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constantly,adv. 不断地；时常地
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
adjustment,n. 调整，调节；调节器
